date,phc_id,medicine_id,stock,patient_footfall,temperature,disease_cases,day_of_week,month,lag_1,lag_7,rolling_mean_7,daily_consumption
2025-01-08,PHC001,MED001,590,119,33.8,27,2,1,97.0,121.0,126.14285714285714,113
2025-01-09,PHC001,MED001,463,125,29.4,33,3,1,113.0,113.0,125.0,127
2025-01-10,PHC001,MED001,360,105,29.9,26,4,1,127.0,115.0,127.0,103
2025-01-11,PHC001,MED001,730,138,32.8,20,5,1,103.0,158.0,125.28571428571429,162
2025-01-12,PHC001,MED001,609,121,25.6,27,6,1,162.0,145.0,125.85714285714286,121
2025-01-13,PHC001,MED001,509,117,34.0,33,0,1,121.0,134.0,122.42857142857143,100
2025-01-14,PHC001,MED001,400,98,22.5,28,1,1,100.0,97.0,117.57142857142857,109
2025-01-15,PHC001,MED001,336,81,29.6,30,2,1,109.0,113.0,119.28571428571429,64
2025-01-16,PHC001,MED001,252,106,23.4,31,3,1,64.0,127.0,112.28571428571429,84
2025-01-17,PHC001,MED001,869,127,24.0,32,4,1,84.0,103.0,106.14285714285714,131
2025-01-18,PHC001,MED001,699,166,27.5,40,5,1,131.0,162.0,110.14285714285714,170
2025-01-19,PHC001,MED001,1088,148,22.1,32,6,1,170.0,121.0,111.28571428571429,186
2025-01-20,PHC001,MED001,938,133,33.5,32,0,1,186.0,100.0,120.57142857142857,150
2025-01-21,PHC001,MED001,840,106,35.0,28,1,1,150.0,109.0,127.71428571428571,98
2025-01-22,PHC001,MED001,727,114,29.4,30,2,1,98.0,64.0,126.14285714285714,113
2025-01-23,PHC001,MED001,645,118,21.0,24,3,1,113.0,84.0,133.14285714285714,82
2025-01-24,PHC001,MED001,508,148,32.9,23,4,1,82.0,131.0,132.85714285714286,137
2025-01-25,PHC001,MED001,976,155,30.2,39,5,1,137.0,170.0,133.71428571428572,160
2025-01-26,PHC001,MED001,817,129,22.4,30,6,1,160.0,186.0,132.28571428571428,159
2025-01-27,PHC001,MED001,652,138,30.8,34,0,1,159.0,150.0,128.42857142857142,165
2025-01-28,PHC001,MED001,543,110,29.4,25,1,1,165.0,98.0,130.57142857142858,109
2025-01-29,PHC001,MED001,425,124,23.0,26,2,1,109.0,113.0,132.14285714285714,118
2025-01-30,PHC001,MED001,919,121,33.8,41,3,1,118.0,82.0,132.85714285714286,112
2025-01-31,PHC001,MED001,799,113,33.9,29,4,1,112.0,137.0,137.14285714285714,120
2025-02-01,PHC001,MED001,676,112,33.2,27,5,2,120.0,160.0,134.71428571428572,123
2025-02-02,PHC001,MED001,1196,137,27.3,33,6,2,123.0,159.0,129.42857142857142,172
2025-02-03,PHC001,MED001,1066,125,34.2,36,0,2,172.0,165.0,131.28571428571428,130
2025-02-04,PHC001,MED001,920,124,29.1,36,1,2,130.0,109.0,126.28571428571429,146
2025-02-05,PHC001,MED001,839,107,30.7,27,2,2,146.0,118.0,131.57142857142858,81
2025-02-06,PHC001,MED001,740,96,25.6,28,3,2,81.0,112.0,126.28571428571429,99
2025-02-07,PHC001,MED001,638,105,20.3,26,4,2,99.0,120.0,124.42857142857143,102
2025-02-08,PHC001,MED001,517,113,20.1,26,5,2,102.0,123.0,121.85714285714286,121
2025-02-09,PHC001,MED001,942,126,25.0,32,6,2,121.0,172.0,121.57142857142857,138
2025-02-10,PHC001,MED001,812,116,23.2,36,0,2,138.0,130.0,116.71428571428571,130
2025-02-11,PHC001,MED001,687,140,31.8,29,1,2,130.0,146.0,116.71428571428571,125
