date,phc_id,medicine_id,stock,daily_consumption,patient_footfall,temperature,disease_cases
01-01-2025,PHC001,MED001,404,121,114,22.1,24
02-01-2025,PHC001,MED001,638,113,129,20.5,25
03-01-2025,PHC001,MED001,523,115,118,20.4,35
04-01-2025,PHC001,MED001,1079,158,152,28.8,34
05-01-2025,PHC001,MED001,934,145,149,22.4,31
06-01-2025,PHC001,MED001,800,134,120,21.5,31
07-01-2025,PHC001,MED001,703,97,104,25.2,29
08-01-2025,PHC001,MED001,590,113,119,33.8,27
09-01-2025,PHC001,MED001,463,127,125,29.4,33
10-01-2025,PHC001,MED001,360,103,105,29.9,26
11-01-2025,PHC001,MED001,730,162,138,32.8,20
12-01-2025,PHC001,MED001,609,121,121,25.6,27
13-01-2025,PHC001,MED001,509,100,117,34,33
14-01-2025,PHC001,MED001,400,109,98,22.5,28
15-01-2025,PHC001,MED001,336,64,81,29.6,30
16-01-2025,PHC001,MED001,252,84,106,23.4,31
17-01-2025,PHC001,MED001,869,131,127,24,32
18-01-2025,PHC001,MED001,699,170,166,27.5,40
19-01-2025,PHC001,MED001,1088,186,148,22.1,32
20-01-2025,PHC001,MED001,938,150,133,33.5,32
21-01-2025,PHC001,MED001,840,98,106,35,28
22-01-2025,PHC001,MED001,727,113,114,29.4,30
23-01-2025,PHC001,MED001,645,82,118,21,24
24-01-2025,PHC001,MED001,508,137,148,32.9,23
25-01-2025,PHC001,MED001,976,160,155,30.2,39
26-01-2025,PHC001,MED001,817,159,129,22.4,30
27-01-2025,PHC001,MED001,652,165,138,30.8,34
28-01-2025,PHC001,MED001,543,109,110,29.4,25
29-01-2025,PHC001,MED001,425,118,124,23,26
30-01-2025,PHC001,MED001,919,112,121,33.8,41
31-01-2025,PHC001,MED001,799,120,113,33.9,29
01-02-2025,PHC001,MED001,676,123,112,33.2,27
02-02-2025,PHC001,MED001,1196,172,137,27.3,33
03-02-2025,PHC001,MED001,1066,130,125,34.2,36
04-02-2025,PHC001,MED001,920,146,124,29.1,36
05-02-2025,PHC001,MED001,839,81,107,30.7,27
06-02-2025,PHC001,MED001,740,99,96,25.6,28
07-02-2025,PHC001,MED001,638,102,105,20.3,26
08-02-2025,PHC001,MED001,517,121,113,20.1,26
09-02-2025,PHC001,MED001,942,138,126,25,32
10-02-2025,PHC001,MED001,812,130,116,23.2,36
11-02-2025,PHC001,MED001,687,125,140,31.8,29
12-02-2025,PHC001,MED001,588,99,118,21.5,26
13-02-2025,PHC001,MED001,468,120,121,30.1,22
